Id;codigo;nome;razao_social;email;telefone;tipo_negocio;grupo_negocio;rua;numero;cep;bairro;complemento;cidade;estado;pais;cnpj;inscricao_estadual;observacao;data_criacao;dia_pagamento;status;data_inativo;atendimentos_agendados;atendimentos_atrasados;atendimentos_finalizados;frequencia_coleta
10000551;SJP;(SJP) CARREFOUR SJRP TANCREDO;CARREFOUR SJRP TANCREDO;flavia_lima@carrefour.com;(17) 3238-3300;Supermercado;Comércio;Avenida Tancredo Neves;900;15076-630;Parque Industrial Tancredo Neves;;São José do Rio Preto;SP;Brasil;45543915004500;;;24/05/2018;0;Inativo;08/06/2023;0;0;128;
10000552;CSS;(CSS) CARREFOUR SJRP SHOPPING;CARREFOUR SJRP SHOPPING;flavia_lima@carrefour.com;(17) 3227-1335;Supermercado;Comércio;Avenida Brigadeiro Faria Lima;6363;15090-000;Vila São José;;São José do Rio Preto;SP;Brasil;45543915008328;;;24/05/2018;0;Inativo;01/05/2023;0;0;116;
10000553;EPP;(EPP) CARREFOUR PRUDENTE;CARREFOUR PRUDENTE;flavia_lima@carrefour.com;(18) 3902-2801;Supermercado;Comércio;Avenida Manoel Goulart;400;19060-000;Vila Santa Helena;;Presidente Prudente;SP;Brasil;62545579002500;;FOI DEIXADO UMA GÔNDOLA DIA 22/04/2022 / COMODATO 05/05/2022;24/05/2018;0;Inativo;13/09/2023;0;0;61;
10000554;UEB Guayporé;Escoteiros Guayporé;Escoteiros do Brasil;erenitalima@ig.com.br;;Outros;Outros;Casa do Escoteiro;s/n;19100-000;;;Presidente Prudente;SP;Brasil;00161898000180;;;24/05/2018;0;Deletado;;;;;
10000555;UEB Dom Bosco;Escoteiros Dom Bosco;Escoteiros do Brasil;nairluziacorte@gmail.com;;Outros;Outros;Rua Manoel Guimarães Dias;2.0;16071-280;;;Araçatuba;SP;Brasil;11933346000169;;;24/05/2018;0;Deletado;;;;;
10000556;COMODATO 04/04/2019;*SUPERBOM ARARUNA;SUPERBOM ARARUNA;contabil@superbombauru.com.br;(14) 3201-3201;Supermercado;Comércio;Rua Felício Atala;42309;17024-650;Jardim Flórida;;Bauru;SP;Brasil;55839922000189;;;24/05/2018;0;Ativo;18/09/2023;0;0;338;
10000557;COMODATO 11/10/2016;*SUPERBOM SÃO GERALDO;SUPERBOM SÃO GERALDO;contabil@superbombauru.com.br;(14) 3201-3201;Supermercado;Comércio;Alameda Flor do Amor;27638;17021-270;Parque Novo São Geraldo;de Quadra 4 ao fim;Bauru;SP;Brasil;55839922000260;;;24/05/2018;0;Ativo;18/09/2023;0;0;353;
10000558;;*SUPERBOM PREMIUM CAMÉLIAS;SUPERBOM PREMIUM CAMELIAS;contabil@superbombauru.com.br;(14) 3201-3201;Supermercado;Comércio;Avenida Orlando Ranieri;43983;17030-671;Jardim Marambá;até Quadra 6;Bauru;SP;Brasil;55839922000340;;;24/05/2018;0;Ativo;18/09/2023;0;0;321;
10000559;;SUPERBOM REDI;SUPERBOM REDI;;(14) 3201-3201;Supermercado;Comércio;Avenida do Café;327;17208-010;Vila Netinho Prado;de 132/133 a 580/581;Jaú;SP;Brasil;55204762000100;;;24/05/2018;0;Inativo;21/07/2019;0;0;56;
10000560;CT 25;TENDA ATACADO BAURU;Tenda Atacado S/A;isabel.rego@tendaatacado.com.br;(14) 3235-2020;Supermercado;Comércio;Avenida Nuno de Assis;20-101;17020-310;Centro;Comércio 1;Bauru;SP;Brasil;01157555002581;209.442.150.115;FOI DEIXADO UMA GÔNDOLA DIA 13/07/2022;24/05/2018;0;Ativo;04/10/2023;0;0;164;
10000561;CT 35;TENDA ATACADO BOTUCATU;Tenda Atacado S/A;isabel.rego@tendaatacado.com.br;(14) 3811-2990;Supermercado;Comércio;Avenida Marginal;200;18606-294;Vila Real;Shopping;Botucatu;SP;Brasil;01157555003553;224.124.235.111;FOI ENTREGUE UMA GÔNDOLA DA CAGILL 06/07/2022;24/05/2018;0;Inativo;23/08/2023;0;0;176;
